,source,publisher,title,content,language,date
83,koreaherald,Yonhap,Govt. to focus on enhancing competitiveness of domestic aviation industry following Korean Air-Asiana merger,"The government said Wednesday it will work to enhance the competitiveness of the domestic aviation industry while minimizing potential monopolistic harm from the soon pending merger between Korean Air Co. and Asiana Airlines Inc. The transport ministry announced an aviation industry support plan during a meeting of industries-focused ministries held at Hanwha Ocean Co.&#039;s research and development campus in Siheung, Gyeonggi Province. To manage monopoly concerns arising from the merger, the m",en,2024-12-11 01:30:06+00:00
84,dailyherald,Katlyn Smith,DuPage County OKs using part of fairgrounds for new transportation facility,"DuPage County Board members have authorized the use of a part of the county fairgrounds in Wheaton for a new transportation facility, though the decision was not unanimous.",en,2024-12-11 00:37:29+00:00
85,lanoticiadigital,Quincy Lemaire,Confusion in Colorado Springs: E-bike Policies Divide Officials,"The Ongoing E-Bike Controversy in Colorado Springs The debate over electric bikes, or e-bikes, is heating up in Colorado Springs. Recently, the Parks, Recreation and Cultural Services Advisory Board has given the green light for a policy promoting increased access for e-bikes on city trails. However, the City Council has yet to reach a final decision, which is expected to be discussed in February. This proposed policy aims to facilitate e-bike use, recognizing their growing popularity and potential benefits for eco-friendly transportation. Yet, challenges linger as city officials grapple with...",es,2024-12-11 00:30:35+00:00
86,stnonline,Merari Acevedo-Vigo,New York Middle Schooler Wins Annual Poster Contest,"Melissa Yang, a student at Bethlehem Central Middle School was the winner of the 2023-2024 National School Bus Safety Poster Contest. The theme this year was “Driving Safely into the Future”, and the National Association for Pupil Transportation (NAPT) released a statement on Oct. 22 expressing their thoughts on Yang’s artwork. “Yang’s artwork skillfully captures [&#8230;]The post New York Middle Schooler Wins Annual Poster Contest appeared first on School Transportation News.",en,2024-12-10 23:27:01+00:00
87,localnews8,Associated Press,"Deadly chocolate factory caused by faulty gas fitting, safety board finds","Associated Press A federal safety board says a corroded steam pipe and a defective natural gas fitting caused a powerful explosion at a Pennsylvania chocolate factory, killing seven workers when the company failed to evacuate. The National Transportation Safety Board says Tuesday that the R.M. Palmer Co. failed to have natural gas emergency procedures in",en,2024-12-10 23:22:05+00:00
88,kvia,Associated Press,"Deadly chocolate factory caused by faulty gas fitting, safety board finds","Associated Press A federal safety board says a corroded steam pipe and a defective natural gas fitting caused a powerful explosion at a Pennsylvania chocolate factory, killing seven workers when the company failed to evacuate. The National Transportation Safety Board says Tuesday that the R.M. Palmer Co. failed to have natural gas emergency procedures inThe post Deadly chocolate factory caused by faulty gas fitting, safety board finds appeared first on KVIA.",en,2024-12-10 23:22:05+00:00
89,lanoticiadigital,Adam Hertz,Get Paid to Go Green! Major E-Bike Incentive Launch on December 18,"California is set to launch a groundbreaking initiative aimed at enhancing air quality and promoting sustainable transportation on December 18. The new E-Bike Incentive Project offers residents up to $2,000 towards the purchase of electric bikes and related gear, including safety helmets. To participate, applicants must meet specific income guidelines, as this program primarily targets low-income individuals. Funded by an initial budget of $3 million, this initiative aims to subsidize around 1,500 e-bikes through the California Air Resources Board (CARB). Interested individuals must secure a...",es,2024-12-10 22:30:35+00:00
90,montereyherald,James Herrera,Imjin Parkway project in Marina has night work expected this week,"On Thursday, Imjin Parkway will be closed from Imjin Road to Reservation Road during the hours of 8 p.m. - 6 a.m., to shift concrete barrier rail near Imjin Road and install additional temporary striping at the Imjin Parkway and Reservation Road intersection, according to the city of Marina and the Transportation Agency for Monterey County.",en,2024-12-10 22:28:42+00:00
91,stnonline,Claudia Newton,(STN Podcast E238) Time Will Tell: Shakeups in the School Bus Business World (+ Thomas Built Buses CEO Interview),"Ryan and Tony analyze headlines including Lion Electric’s reduction of electric school bus manufacturing, technology provider Zonar’s acquisition by GPS Trackit, and what such developments mean for the industry. T.J. Reed, the new president and CEO of Thomas Built Buses, joins us to discuss his vision for the company and exciting future innovations. Join us [&#8230;]The post (STN Podcast E238) Time Will Tell: Shakeups in the School Bus Business World (+ Thomas Built Buses CEO Interview) appeared first on School Transportation News.",en,2024-12-10 22:14:04+00:00
92,mymotherlode,AP News,A Southwest jet and a small plane wound up on the same runway after being cleared to land,"A Southwest Airlines jet and a small plane wound up on the same runway in California in October after an air traffic controller cleared both planes to land on the same runway. The National Transportation Safety Board said Tuesday that the planes came within 900 feet of each other before the smaller plane taxied away. The incident happened Oct. 19 at the airport in Long Beach, California. It's the latest in a number of recent cases in which planes came unnecessarily close due to errors by air traffic controllers or pilots.",en,2024-12-10 22:03:42+00:00
93,dvidshub,Master Sgt. Gary Witte,Competence is my watchword [Image 7 of 7],"U.S. Army Sgt. Terrence McMillan (right), a personnel NCO with the 642nd Regional Support Group, helps Spc. Avery M. Riley, a driver with the 441st Transportation Company, during Soldier Readiness Processing Nov. 23, 2024, at Fort McClellan, Ala. The event, coordinated with another in Fort Stewart, Ga., provided more than 900 Reserve troops under the 642nd Regional Support Group with medical and dental exams, vaccinations, updated family care plans and record reviews. This four-day event helped ensure the service members will be prepared to deploy if necessary. (U.S. Army photo by Master Sgt...",en,2024-12-10 21:55:42+00:00
94,dvidshub,Master Sgt. Gary Witte,For the record [Image 3 of 7],"U.S. Army Staff Sgt. Yoni E. Canales, a platoon sergeant with 441st Transportation Company (Seaport Operations), collects his paperwork Nov. 23, 2024, during Soldier Readiness Processing at Fort McClellan, Ala. The event, held in conjunction with another in Fort Stewart, Ga., provided more than 900 Reserve troops with medical and dental exams, vaccinations, updated family care plans and record reviews. In addition, representatives from the organizations Military OneSource and Army Reserve Family Programs were on hand to provide specialized assistance and advice to Soldiers. Units participating...",en,2024-12-10 21:55:42+00:00
95,dvidshub,Master Sgt. Gary Witte,Stay SHARP [Image 2 of 7],"U.S. Army Sgt. 1st Class Doreenkay M. Ford (left), victim advocate for the 828th Transportation Battalion, leads troops in a Sexual Harassment Assault Response and Prevention class Nov. 22, 2024, during Soldier Readiness Processing at Fort McClellan, Ala. The event, coordinated with another in Fort Stewart, Ga., provided more than 900 Reserve troops within the 642nd Regional Support Group with medical and dental exams, vaccinations, updated family care plans and record reviews. This process helped ensure the service members will be prepared to deploy if necessary. (U.S. Army photo by Master Sgt...",en,2024-12-10 21:55:42+00:00
96,The Sydney Morning Herald,,ASIC sues Regional Express over alleged misleading and deceptive conduct,"The corporate regulator is taking the collapsed airline and four of its directors - including former transport minister John Sharp - to court, accusing it of misleading the market with their profit guidance.",en,2024-12-10 21:49:59+00:00
97,brisbanetimes,,ASIC sues Regional Express over alleged misleading and deceptive conduct,"The corporate regulator is taking the collapsed airline and four of its directors - including former transport minister John Sharp - to court, accusing it of misleading the market with their profit guidance.",en,2024-12-10 21:49:59+00:00
98,The Age,,ASIC sues Regional Express over alleged misleading and deceptive conduct,"The corporate regulator is taking the collapsed airline and four of its directors - including former transport minister John Sharp - to court, accusing it of misleading the market with their profit guidance.",en,2024-12-10 21:49:59+00:00
99,The Sydney Morning Herald,,ASIC sues Regional Express over alleged misleading and deceptive conduct,"The corporate regulator is taking the collapsed airline and four of its directors - including former transport minister John Sharp - to court, accusing it of misleading the market with their profit guidance.",en,2024-12-10 21:49:59+00:00
